id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1541073,Twin Bedroom in serviced apartment,6851542,Quick,Whalley Range,53.44713059494791,-2.2523256696230285,Private room,45,4,0,,,6,365
11427810,Cozy room in Victorian terrace,2826219,Anja,Whalley Range,53.45133825462561,-2.2592864845463354,Private room,39,1,3,2016-03-17,3,1,314
6774827,Bright & cosy crashpad,11064258,Gabrielle (Brie),Whalley Range,53.45058129070464,-2.259592774629711,Private room,24,1,57,2016-04-10,6.33,5,316
10408951,Beautiful Room in Victorian Flat,53600352,Steph,Whalley Range,53.44517191815727,-2.255053195980463,Private room,30,1,14,2016-04-05,4.83,1,355
2168639,Spacious sunny double - Chorlton/WR,11064258,Gabrielle (Brie),Whalley Range,53.450702035141006,-2.2681324769758566,Private room,28,1,57,2015-05-22,2.09,5,155
5091469,"Hi i,m Darren ",26303964,Darren,Fallowfield,53.44249552090438,-2.242407883916005,Private room,30,1,12,2015-09-27,0.96,1,293
6407192,Double room in Rusholme,16697099,Mo,Fallowfield,53.44916184658316,-2.229682181515568,Private room,30,1,4,2015-11-27,0.64,11,365
5749002,Lovely Double room in Manchester,16697099,Mo,Fallowfield,53.44886985850959,-2.230041905405314,Private room,35,1,4,2015-08-30,0.32,11,365
9648871,Lovely room near the city center!!,7020753,Ines,Fallowfield,53.44404155023618,-2.218564256008264,Private room,30,5,0,,,1,0
11153651,Cozy Twin Bedroom & Nice Location,42675068,Arif,Fallowfield,53.44524082229356,-2.226587223946953,Private room,14,1,5,2016-03-23,3.49,3,42
11528800,Modern 2 Bed Flat with Parking!!,4105132,Kristine,Fallowfield,53.44163366646917,-2.2440226754771047,Entire home/apt,80,1,4,2016-03-23,4,2,2
10149798,LOVELY APARTMENT IN GREAT LOCATION!,43680859,Nora,Fallowfield,53.44782731698893,-2.2197832276503355,Entire home/apt,49,2,5,2016-03-11,2.31,1,54
10541465,Spacious 4 bed house,52173304,Ali,Fallowfield,53.44325772696477,-2.234441002597041,Entire home/apt,290,1,1,2016-02-29,0.70,1,223
5796913,"NICE 2 BEDROOM flat, Falowfield",4274481,Bass,Fallowfield,53.44440575500195,-2.2237541898003514,Entire home/apt,75,1,0,,,26,362
686209,Lovely double-room @ Laura's place,3500465,Laura,Fallowfield,53.447406057492806,-2.230494088711948,Private room,39,2,109,2016-03-04,2.60,1,359
8806136,Lovely House in Fallowfield,16697099,Mo,Fallowfield,53.4450941781046,-2.2281175530284143,Entire home/apt,351,1,4,2016-02-07,0.74,11,364
10634768,Spacious double room near Oxford Rd,4064113,Svyatoslav,Fallowfield,53.44478006985721,-2.2253762133644375,Private room,30,1,2,2016-04-05,2,1,88
10366592,** Warm Room in Great Location **,36058935,Paul,Fallowfield,53.44467695974966,-2.2190601003932455,Private room,25,2,12,2016-04-06,4.74,1,172
11797047,Cozy Bed in LIVING ROOM ->Traveller,42675068,Arif,Fallowfield,53.445272931574166,-2.228594185215236,Shared room,12,1,7,2016-04-03,7,3,65
9680231,"Double room, Chorlton breakfast inc",3940948,Debra,Fallowfield,53.4402055667806,-2.2575297190224926,Private room,43,7,15,2016-03-26,3.31,1,12
11157729,Cozy Single Bedroom & Nice Location,42675068,Arif,Fallowfield,53.44470217116222,-2.227136402636461,Private room,13,1,0,,,3,57
11509685,Great double close to the airport,13194180,Ben,Brooklands,53.405784522293075,-2.3042330500776123,Private room,23,1,0,,,2,365
9402844,Modern comfy clean double room,48762990,Naomi,Brooklands,53.40449821265246,-2.2918990047991383,Private room,39,1,1,2015-11-21,0.21,1,357
5210396,Quiet friendly house in the Suburbs,26954588,Joan,Brooklands,53.414064344276966,-2.289175619986747,Private room,24,1,37,2016-04-05,2.77,1,54
4522567,NOT AVAILABLE,21876087,Michael,Brooklands,53.40088549036893,-2.295145281328386,Entire home/apt,100,2,0,,,1,365
10939376,Small double room close to airport,13194180,Ben,Brooklands,53.408037771877055,-2.3030758711317927,Private room,20,1,3,2016-03-18,2.81,2,361
3896003,In the Park,15159184,Olia,Brooklands,53.4048273630962,-2.2917400152186804,Private room,29,1,49,2016-03-25,2.47,1,74
8221602,Double Room - South Manchester,43172158,Linda,Northenden,53.408889877827534,-2.2659045258047974,Private room,35,1,0,,,3,281
10587645,"Private, Cosy & Relaxing £18 - £31!",54622533,Karl,Northenden,53.40946376207616,-2.2742262506313553,Private room,31,1,16,2016-04-08,8.28,1,111
7806415,Comfortable room near Manchester.,32573269,Louise,Northenden,53.40706556267499,-2.256255859720925,Private room,35,1,1,2015-11-15,0.20,1,342
8047459,Lovely room with lovely host,39370985,Vikki,Northenden,53.41019305157282,-2.257745127654871,Private room,35,2,1,2015-10-30,0.18,2,365
7514878,Gorgeous rooms with a lovely host,39370985,Vikki,Northenden,53.40980310337785,-2.2574908820772537,Private room,35,2,2,2015-10-11,0.27,2,342
8183701,Double Room - South Manchester,43172158,Linda,Northenden,53.41142403075595,-2.265784087220555,Private room,35,1,4,2016-02-28,0.58,3,296
3591081,Modern Bright Studio with Garden,4518134,Sam,Northenden,53.40890715813156,-2.276016512814407,Entire home/apt,49,1,16,2016-03-18,2.31,1,356
8382734,Single Room - Northenden Manchester,43172158,Linda,Northenden,53.41158035098598,-2.265095095439744,Private room,25,1,11,2015-12-03,1.60,3,342
12329219,Private garden,3717018,Nanako,Didsbury West,53.415910349765134,-2.2332764988367138,Entire home/apt,97,1,0,,,1,365
5633703,"A double room, well located.",3091854,Nicola,Didsbury West,53.42375260240294,-2.2434659821721437,Private room,37,1,22,2016-04-10,1.73,1,365
5577745,Homely flat in ideal location,20268834,Dane,Didsbury West,53.42731758486643,-2.2389444434906443,Entire home/apt,59,1,73,2016-04-10,5.64,2,328
651943,"Large room, good access city centre",3027563,Bob And Christine,Didsbury West,53.42667082750748,-2.2344793993624794,Private room,36,1,153,2016-04-04,3.53,3,171
912553,"Comfortable en-suite room, Didsbury",3027563,Bob And Christine,Didsbury West,53.42617742737645,-2.2341893232890855,Private room,36,1,147,2016-04-04,4.05,3,176
11127757,Fantastic Attic room,45630673,David,Didsbury West,53.41632709097973,-2.2358670463740684,Entire home/apt,49,1,0,,,3,293
4443179,3 Bed Lux House Didsbury Manchester,18178970,Charley,Didsbury West,53.42835536941267,-2.2389950893388106,Entire home/apt,160,2,13,2016-03-27,1.20,1,222
11684305,Fantastic 1 Bed Flat. West Didsbury,62070962,Claudia,Didsbury West,53.423654861644984,-2.243231090642211,Entire home/apt,52,2,6,2016-04-09,6,1,327
8601786,Spacious Double Room in quiet area,14683286,Matthew,Didsbury West,53.4218517319656,-2.257518738960616,Private room,35,1,11,2016-03-30,1.75,2,365
4938508,Cosy Sunny South Manchester Bedroom,11812722,Sarah,Didsbury West,53.42284906093666,-2.2428771272380477,Private room,36,1,15,2016-02-08,1.06,1,344
8345138,Fully furnished modern apartment,32259923,Lewis Phipps Property Management,Didsbury West,53.42729235485032,-2.23556374424873,Entire home/apt,75,1,7,2015-11-23,1.13,2,296
